talker,vowel,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15
PL4,er,-16.894345,-20.226006,-25.376917,-32.071412,-39.088597,-43.214108,-46.002093,-49.288448,-51.823484,-53.689759,-57.628233,-58.264501,,,,-8.0446997,-2.7830984,1.63934666,3.83055781,2.86499306,0.4467223,-3.1333963,-7.3709178,-12.178004,-17.566014,-22.566212,-27.112027,,,
PL1,iy,-10.041126,-15.142884,-21.20774,-26.653754,-32.422582,-37.886678,-42.552108,-48.530908,-52.431147,-54.261564,-54.302415,-53.25228,-51.216277,-50.470873,-49.571105,-9.2515017,-5.0297765,0.32783781,3.11900793,4.43336016,4.48393307,4.03788386,0.54919413,-5.8431634,-12.415345,-17.877097,-25.133102,-30.803842,-36.796068,-43.471135
PL1,ih,-12.77664,-18.238392,-23.836791,-30.71841,-36.180162,-41.489544,-46.484811,-51.172994,-56.033957,-58.660663,-60.001804,-61.040894,-60.450172,-60.536912,-62.211614,-9.2117025,-9.1708807,-5.7478513,-2.6342495,-2.5934276,-3.1844946,-5.0782247,-8.2454538,-13.51167,-19.596965,-25.382554,-32.463429,-37.814041,-43.256006,-50.644447
PL1,ey,-11.619818,-16.354794,-21.360551,-28.310841,-33.408059,-39.664613,-43.181666,-50.022428,-54.860071,-56.68743,-57.505501,-57.403619,-57.439889,-56.184192,-58.033634,-12.024406,-8.9812485,-4.6461249,-0.7339559,0.86931215,1.54498142,2.14108659,-0.7079428,-6.5086683,-13.680924,-19.282787,-26.055882,-32.193828,-38.060993,-45.319923
PL1,ae,-11.712002,-16.659153,-21.876024,-28.653158,-34.254359,-39.046051,-43.079224,-49.571458,-55.392432,-59.552093,-61.169198,-63.221331,-64.752914,-65.898139,-69.267817,-15.292937,-14.285266,-11.975233,-8.6403195,-7.7783155,-7.4226672,-7.5737221,-8.9182676,-13.504034,-19.5533,-24.861546,-31.373016,-37.143524,-41.475793,-48.331613
PL1,aa,-15.096131,-20.683086,-25.621758,-31.466768,-36.40544,-42.6369,-47.318549,-53.811842,-60.574829,-64.232353,-67.361213,-68.685258,-68.969644,-69.254103,-70.481082,-15.832468,-18.29751,-17.249073,-15.024604,-13.976168,-13.194563,-13.440862,-14.729871,-18.10125,-23.557863,-28.236649,-35.279255,-40.779912,-46.331559,-54.068556
PL1,ao,-16.038379,-20.85363,-24.888144,-31.119917,-35.802061,-42.947573,-46.449904,-52.808862,-60.091336,-65.299846,-69.224837,-71.999417,-72.165957,-71.812053,-71.622799,-18.018396,-21.002245,-21.111768,-20.307588,-20.544297,-18.564157,-17.906751,-16.454942,-17.202318,-21.608611,-25.752648,-32.381571,-38.539075,-43.921765,-52.098555
PL1,ow,-15.237156,-20.940024,-27.9595,-34.099096,-39.045943,-45.68842,-51.46900,-57.251764,-63.339399,-66.812032,-69.25729,-70.517566,-69.982309,-69.576653,-66.038938,-14.659266,-16.512504,-15.25797,-11.789387,-10.780226,-8.0895954,-7.9321325,-7.7746704,-11.075822,-17.195832,-21.76568,-28.806767,-34.802599,-40.17169,-47.650238
PL1,uh,-18.596755,-24.454416,-31.046461,-36.987995,-41.915514,-47.4917,-52.150309,-58.314789,-63.974778,-67.152052,-68.006304,-69.413236,-67.677112,-66.595794,-68.009466,-12.262003,-13.361735,-10.549808,-7.6259264,-6.5262641,-5.5483843,-6.4230035,-8.9234005,-14.707087,-19.353131,-25.587813,-32.618136,-38.397018,-44.319184,-51.421995
PL1,uw,-18.768649,-24.629778,-31.676633,-37.537761,-43.131198,-49.244838,-53.268219,-59.356886,-64.118217,-66.014892,-65.596145,-64.240996,-62.282033,-60.43652,-58.33276,-10.657688,-8.4912925,-3.8540159,-1.6876203,-0.8137962,-0.7319241,-0.880951,-4.1741458,-10.572687,-17.736179,-23.061924,-30.246391,-35.957797,-41.713124,-48.814039
