,speaker,index,word,time,word.dur,voicing.dur,vowel.dur,cluster.dur,spreading.dur,sonorant.dur,closure.dur,vor,voffr,mor,cond_no,ipa,cons1,vowel,height,anteroposterior,roundness,consonant,manner,place,aspiration,syllables,syl_structure,gloss,pos,comp,contx
36,tt01,179,detta,548.7834471,520.9287029,111.5741528,87.23732961,234.6745931,107.6638164,142.0006396,92.67395348,311.9119227,200.3377699,234.6745931,27,teʰta,nasp,e,mid,front,unrounded,ʰt,stop,coronal,yes,di,cvccv,fall,v,c,cc
37,bte03,31,kopp,224.0069444,592.4092971,165.0072673,106.6552879,277.9879742,89.15980427,157.5117837,120.4761905,374.6432621,209.6359947,277.9879742,5,kʰoʰp,asp,o,mid,back,round,ʰp,stop,labial,yes,mono,cvcc,chamber pot,n,c,cc
38,tt01,81,dökk,249.5928741,409.3694885,102.6218001,85.3407323,226.511813,121.6850602,148.9661281,77.54568494,301.8525453,199.2307452,226.511813,3,tœʰk,nasp,œ,mid,front,round,ʰk,stop,velar,yes,mono,cvcc,dark,adj,c,cc
39,shg05,14,punta,37.66608146,409.7306166,94.1452057,67.62919364,174.9768964,64.03911565,100.5551277,74.42176871,232.6060901,138.4608844,174.9768964,39,pʰʏn̥ta,asp,ʏ,high,front,round,n̥,nasal,coronal,yes,di,cvncv,decoration,n,c,cc
40,bte03,80,punta,488.1710272,533.5928086,150.0155896,88.80682649,220.2631848,99.79365079,171.0024139,49.26077098,299.0700113,149.0544218,220.2631848,39,pʰʏn̥ta,asp,ʏ,high,front,round,n̥,nasal,coronal,yes,di,cvncv,decoration,n,c,cc
41,brs02,58,punta,205.95276,519.3532787,148.9341886,74.67586121,200.2452618,52.12062603,136.3789534,63.86630843,264.921123,115.9869345,200.2452618,39,pʰʏn̥ta,asp,ʏ,high,front,round,n̥,nasal,coronal,yes,di,cvncv,decoration,n,c,cc
42,tt01,176,kembdi,539.3183524,525.309108,192.4915596,101.7702936,236.7280687,0,100.721266,136.0068027,328.4983623,136.0068027,236.7280687,34,cʰemtɪ,asp,e,mid,front,unrounded,m,nasal,labial,no,di,cvccv,comb,v,c,cc
43,brs02,132,punda,421.7285759,563.5384691,193.9009662,80.65765733,214.5634311,0,123.2433089,91.32012225,285.2210884,91.32012225,214.5634311,40,pʰʏnta,asp,ʏ,high,front,round,n,nasal,coronal,no,di,cvncv,pound,n,c,cc
44,brs02,125,tipla,396.2969064,589.493437,160.6104252,97.6629704,218.4373504,11.03841537,83.98587021,134.4514802,306.1003208,145.4898956,218.4373504,60,tʰɪʰpla,asp,ɪ,high,front,unrounded,ʰp,stop,labial,yes,di,cvccv,tiptoe,v,x,cx
45,shg05,140,kemba,375.4565526,374.0670181,174.4302721,73.08214366,152.5112048,0,111.3481285,41.16307634,215.5933485,41.16307634,152.5112048,38,cʰempa,asp,e,mid,front,unrounded,m,nasal,labial,no,di,cvncv,comb,v,c,cc
